state_name,year,vmt
New Jersey,2020,66341149959.99999
New Mexico,2020,23756435600.0
New York,2020,102476874540.0
North Carolina,2020,106342365360.0
North Dakota,2020,8767600780.0
Ohio,2020,103114936130.0
Oklahoma,2020,42000178540.0
Oregon,2020,32297978450.0
Pennsylvania,2020,87982490940.0
Rhode Island,2020,6864093280.0
South Carolina,2020,53972052010.0
South Dakota,2020,9742507870.0
Tennessee,2020,76392474940.0
Texas,2020,260581955450.0
Utah,2020,30251183480.0
Vermont,2020,6006975100.0
Virginia,2020,76110269230.0
Washington,2020,53658241300.0
West Virginia,2020,16054140250.0
Wisconsin,2020,57599941050.0
Wyoming,2020,9800319810.0
Alabama,2021,71892031360.0
Alaska,2021,5752187650.0
Arizona,2021,73759955680.0
Arkansas,2021,38426805770.0
California,2021,310822725910.0
Colorado,2021,53839706260.0
Connecticut,2021,28988542620.0
Delaware,2021,10152424450.0
District of Columbia,2021,3247775430.0
Florida,2021,217566376940.0
Georgia,2021,120685224070.0
Hawaii,2021,9971963740.0
Idaho,2021,19308170080.0
Illinois,2021,97529583000.0
Indiana,2021,78640396040.0
Iowa,2021,33039277640.0
Kansas,2021,31692834140.0
Kentucky,2021,48111368610.0
Louisiana,2021,54727656680.0
Maine,2021,14559825000.0
Maryland,2021,56601201810.0
Massachusetts,2021,59114984260.0
Michigan,2021,96744486140.0
Minnesota,2021,57171109370.0
Mississippi,2021,40852825240.0
Missouri,2021,79790927240.0
Montana,2021,13481668660.0
Nebraska,2021,21209666290.0
Nevada,2021,27076608000.0
New Hampshire,2021,13129807710.0
New Jersey,2021,73672757410.0
New Mexico,2021,26823403240.0
New York,2021,106869759000.0
North Carolina,2021,117734433910.0
North Dakota,2021,9255666420.0
Ohio,2021,112923016050.0
Oklahoma,2021,44759760700.0
Oregon,2021,36841975590.0
Pennsylvania,2021,102686040600.0
Rhode Island,2021,7526312080.0
South Carolina,2021,57491954880.0
South Dakota,2021,9993910730.0
Tennessee,2021,82595592510.0
Texas,2021,285027661290.0
Utah,2021,33637947030.000004
Vermont,2021,6625054990.0
Virginia,2021,80102466100.0
Washington,2021,57796596110.0
West Virginia,2021,16079274940.0
Wisconsin,2021,64983279470.0
Wyoming,2021,11096520150.0
Alabama,2022,71630539140.0
Alaska,2022,5478209390.0
Arizona,2022,76159311550.0
Arkansas,2022,38530472560.0
California,2022,315243572600.0
Colorado,2022,53935286560.0
Connecticut,2022,29666314290.0
Delaware,2022,9872399430.0
District of Columbia,2022,3420731300.0
Florida,2022,227757137420.0
Georgia,2022,128871055710.0
Hawaii,2022,10289075680.0
Idaho,2022,19157403840.0
Illinois,2022,103752186880.0
Indiana,2022,95684405780.0
Iowa,2022,32712075280.0
Kansas,2022,31333643600.0
Kentucky,2022,48047123960.0
Louisiana,2022,56514035970.0
Maine,2022,14651089710.0
Maryland,2022,56745830000.0
Massachusetts,2022,56948964090.0
Michigan,2022,95900793870.0
Minnesota,2022,57470623750.0
Mississippi,2022,39951719480.0
Missouri,2022,79430845120.0
Montana,2022,13513780100.0
Nebraska,2022,21270328890.0
Nevada,2022,27647356860.0
New Hampshire,2022,13280563430.0
New Jersey,2022,75287570490.0
New Mexico,2022,26831448290.0
New York,2022,115382314700.0
North Carolina,2022,119381038230.0
North Dakota,2022,9179773050.0
Ohio,2022,110577510330.0
Oklahoma,2022,44565773490.0
Oregon,2022,36576159970.0
Pennsylvania,2022,99912310560.0
Rhode Island,2022,7530619750.0
South Carolina,2022,58988379590.0
South Dakota,2022,10169528880.0
Tennessee,2022,83218639240.0
Texas,2022,290890077830.0
Utah,2022,34336151059.999996
Vermont,2022,7127762710.0
Virginia,2022,82083233040.0
Washington,2022,58482755280.0
West Virginia,2022,15312407530.0
Wisconsin,2022,66166680890.0
Wyoming,2022,9324385290.0
